date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:22:03	23710/23710	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Feb%202017%2012:55:44%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.eot	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.eot	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:03	23710/23710	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Feb%202017%2012:55:44%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.eot?	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-bold-webfontd41d.eot	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:04	20684/20684	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2024%20Feb%202017%2012:55:47%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.woff2	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.woff2	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:04	26856/26856	---M--	200	added ('OK')	application/font-woff	date:Fri,%2024%20Feb%202017%2012:55:47%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.woff	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.woff	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:05	51416/51416	---M--	200	added ('OK')	application/font-sfnt	date:Fri,%2024%20Feb%202017%2012:55:46%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.ttf	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.ttf	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:05	76035/76035	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Feb%202017%2012:55:46%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.svg	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-bold-webfont.svg	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:05	23685/23685	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Feb%202017%2012:55:55%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.eot	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.eot	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:06	23685/23685	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Feb%202017%2012:55:55%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.eot?	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-semibold-webfontd41d.eot	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:06	20556/20556	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2024%20Feb%202017%2012:55:57%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.woff2	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.woff2	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:06	26740/26740	---M--	200	added ('OK')	application/font-woff	date:Fri,%2024%20Feb%202017%2012:55:57%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.woff	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.woff	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:06	51556/51556	---M--	200	added ('OK')	application/font-sfnt	date:Fri,%2024%20Feb%202017%2012:55:56%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.ttf	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.ttf	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:06	75836/75836	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Feb%202017%2012:55:56%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.svg	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-semibold-webfont.svg	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:07	23501/23501	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Feb%202017%2012:55:48%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-light-webfont.eot	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-light-webfont.eot	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:07	23501/23501	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Feb%202017%2012:55:48%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-light-webfont.eot?	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-light-webfontd41d.eot	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:07	20520/20520	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2024%20Feb%202017%2012:55:50%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-light-webfont.woff2	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-light-webfont.woff2	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:08	26548/26548	---M--	200	added ('OK')	application/font-woff	date:Fri,%2024%20Feb%202017%2012:55:50%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-light-webfont.woff	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-light-webfont.woff	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:08	51588/51588	---M--	200	added ('OK')	application/font-sfnt	date:Fri,%2024%20Feb%202017%2012:55:49%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-light-webfont.ttf	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-light-webfont.ttf	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:08	80945/80945	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Feb%202017%2012:55:49%20GMT	https://demo.mythemeshop.com/s/fonts/proximanova-light-webfont.svg	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/proximanova-light-webfont.svg	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:08	2684/2684	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Feb%202017%2012:55:43%20GMT	https://demo.mythemeshop.com/s/fonts/icomoon.eot?pgvgx	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/icomoon3088.eot	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:09	2520/2520	---M--	200	added ('OK')	application/font-sfnt	date:Fri,%2024%20Feb%202017%2012:55:43%20GMT	https://demo.mythemeshop.com/s/fonts/icomoon.ttf?pgvgx	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/icomoon3088.ttf	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:09	2596/2596	---M--	200	added ('OK')	application/font-woff	date:Fri,%2024%20Feb%202017%2012:55:44%20GMT	https://demo.mythemeshop.com/s/fonts/icomoon.woff?pgvgx	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/icomoon3088.woff	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:09	5746/5746	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Feb%202017%2012:55:43%20GMT	https://demo.mythemeshop.com/s/fonts/icomoon.svg?pgvgx	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/fonts/icomoon3088.svg	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:10	4975/4975	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:56:02%20GMT	https://demo.mythemeshop.com/s/images/filter-help.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/images/filter-help.png	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:10	7632/7632	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:56:02%20GMT	https://demo.mythemeshop.com/s/images/hover-help.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/images/hover-help.png	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:10	6884/6884	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:56:00%20GMT	https://demo.mythemeshop.com/s/images/click-help.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/images/click-help.png	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:11	1974/1974	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:56:00%20GMT	https://demo.mythemeshop.com/s/images/close-help.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/images/close-help.png	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:11	2458/2458	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:56:05%20GMT	https://demo.mythemeshop.com/s/images/select.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/images/select.png	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:11	1961/1961	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:56:05%20GMT	https://demo.mythemeshop.com/s/images/scroll.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/images/scroll.png	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:11	2524/2524	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:56:05%20GMT	https://demo.mythemeshop.com/s/images/responsive.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/images/responsive.png	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:12	2186/2186	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:56:01%20GMT	https://demo.mythemeshop.com/s/images/download.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/images/download.png	(from https://demo.mythemeshop.com/s/style.css?v=1.1)
02:22:12	6845/6845	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Feb%202017%2012:48:00%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/style.css	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/style.css	(from https://demo.mythemeshop.com/s/a/coupon/)
02:22:12	1462/1462	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:47:59%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/favicon.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/favicon.png	(from https://demo.mythemeshop.com/s/a/coupon/)
02:22:13	21994/21994	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:48:00%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/laptop.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/laptop.png	(from https://demo.mythemeshop.com/s/a/coupon/)
02:22:14	116651/116651	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Feb%202017%2012:47:44%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/coupon-2.jpg	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/coupon-2.jpg	(from https://demo.mythemeshop.com/s/a/coupon/)
02:22:14	123159/123159	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Feb%202017%2012:47:58%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/coupon.jpg	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/coupon.jpg	(from https://demo.mythemeshop.com/s/a/coupon/)
02:22:15	119342/119342	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Feb%202017%2012:47:48%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/coupon-4.jpg	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/coupon-4.jpg	(from https://demo.mythemeshop.com/s/a/coupon/)
02:22:15	215182/215182	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Feb%202017%2012:47:46%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/coupon-3.jpg	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/coupon-3.jpg	(from https://demo.mythemeshop.com/s/a/coupon/)
02:22:16	202564/202564	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Feb%202017%2012:47:51%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/coupon-5.jpg	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/coupon-5.jpg	(from https://demo.mythemeshop.com/s/a/coupon/)
02:22:17	125180/125180	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Feb%202017%2012:47:59%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/coupon-shop.jpg	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/coupon-shop.jpg	(from https://demo.mythemeshop.com/s/a/coupon/)
02:22:17	2100/2100	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2012:47:59%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/logo.png	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/logo.png	(from https://demo.mythemeshop.com/s/a/coupon/images/style.css)
02:22:17	363059/363059	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Feb%202017%2012:47:56%20GMT	https://demo.mythemeshop.com/s/a/coupon/images/coupon-blog.jpg	C:/Users/rajiv/Desktop/wordpreesstuff/my%20project/demo.mythemeshop.com/s/a/coupon/images/coupon-blog.jpg	(from https://demo.mythemeshop.com/s/a/coupon/)
